timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
26,100.77473427801758,path_1,10.23,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.11,path_1,10.37,path_1,10.0,path_1,10.0,path_1,10.06,90.77,0,0,0.0,0.0,0.0,0.0
27,50.38736713900879,path_1,5.11,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.06,path_1,5.19,path_1,5.0,path_1,5.0,path_1,5.03,100.77,0,0,0.77,0.0,0.0,0.77
28,60.38736713900879,path_1,6.11,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.06,path_1,6.19,path_1,6.0,path_1,6.0,path_1,6.03,50.39,0,0,0.0,0.0,0.0,0.0
29,70.38736713900879,path_1,7.11,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.06,path_1,7.19,path_1,7.0,path_1,7.0,path_1,7.03,60.39,0,0,0.0,0.0,0.0,0.0
30,80.38736713900879,path_1,8.11,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.06,path_1,8.19,path_1,8.0,path_1,8.0,path_1,8.03,70.39,0,0,0.0,0.0,0.0,0.0
31,90.38736713900879,path_1,9.11,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.06,path_1,9.19,path_1,9.0,path_1,9.0,path_1,9.03,80.39,0,0,0.0,0.0,0.0,0.0
32,100.38736713900879,path_1,10.11,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.06,path_1,10.19,path_1,10.0,path_1,10.0,path_1,10.03,90.39,0,0,0.0,0.0,0.0,0.0
33,50.193683569504394,path_1,5.06,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.09,path_1,5.0,path_1,5.0,path_1,5.02,100.39,0,0,0.39,0.0,0.0,0.39
34,60.193683569504394,path_1,6.06,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.03,path_1,6.09,path_1,6.0,path_1,6.0,path_1,6.02,50.19,0,0,0.0,0.0,0.0,0.0
35,70.19368356950439,path_1,7.06,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.03,path_1,7.09,path_1,7.0,path_1,7.0,path_1,7.02,60.19,0,0,0.0,0.0,0.0,0.0
36,80.19368356950439,path_1,8.06,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.03,path_1,8.09,path_1,8.0,path_1,8.0,path_1,8.02,70.19,0,0,0.0,0.0,0.0,0.0
37,90.19368356950439,path_1,9.06,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.09,path_1,9.0,path_1,9.0,path_1,9.02,80.19,0,0,0.0,0.0,0.0,0.0
38,100.19368356950439,path_1,10.06,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.09,path_1,10.0,path_1,10.0,path_1,10.02,90.19,0,0,0.0,0.0,0.0,0.0
39,50.09684178475219,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.05,path_1,5.0,path_1,5.0,path_1,5.01,100.19,0,0,0.19,0.0,0.0,0.19
40,60.09684178475219,path_1,6.03,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.05,path_1,6.0,path_1,6.0,path_1,6.01,50.1,0,0,0.0,0.0,0.0,0.0
41,70.0968417847522,path_1,7.03,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.05,path_1,7.0,path_1,7.0,path_1,7.01,60.1,0,0,0.0,0.0,0.0,0.0
42,80.0968417847522,path_1,8.03,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.05,path_1,8.0,path_1,8.0,path_1,8.01,70.1,0,0,0.0,0.0,0.0,0.0
43,90.0968417847522,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.05,path_1,9.0,path_1,9.0,path_1,9.01,80.1,0,0,0.0,0.0,0.0,0.0
44,100.0968417847522,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.05,path_1,10.0,path_1,10.0,path_1,10.01,90.1,0,0,0.0,0.0,0.0,0.0
45,50.0484208923761,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.02,path_1,5.0,path_1,5.0,path_1,5.0,100.1,0,0,0.1,0.0,0.0,0.1
