timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
171,90.6328125,path_1,11.0,path_1,8.0,path_1,12.75,path_1,2.0,path_1,14.11,path_1,7.5,path_1,6.0,path_1,11.0,path_1,14.27,path_1,4.0,79.63,2.0,0,0.0,0.0,0.0,0.0
172,90.6328125,path_2,2.0,path_1,9.0,path_1,13.75,path_1,3.0,path_1,15.11,path_1,8.5,path_1,7.0,path_1,12.0,path_1,15.27,path_1,5.0,90.63,0,0,0.0,0.0,0.0,0.0
173,99.6328125,path_1,2.0,path_1,10.0,path_1,14.75,path_1,4.0,path_1,16.11,path_1,9.5,path_1,8.0,path_1,13.0,path_1,16.27,path_1,6.0,88.63,2.0,0,0.0,0.0,0.0,0.0
174,89.5234375,path_1,3.0,path_1,11.0,path_1,15.75,path_1,5.0,path_3,2.0,path_1,10.5,path_1,9.0,path_1,14.0,path_1,17.27,path_2,2.0,99.63,0,0,0.0,0.0,0.0,0.0
175,97.5234375,path_1,4.0,path_1,12.0,path_1,16.75,path_1,6.0,path_1,2.0,path_1,11.5,path_1,10.0,path_1,15.0,path_1,18.27,path_1,2.0,85.52,2.0,2.0,0.0,0.0,0.0,0.0
176,107.5234375,path_1,5.0,path_1,13.0,path_1,17.75,path_1,7.0,path_1,3.0,path_1,12.5,path_1,11.0,path_1,16.0,path_1,19.27,path_1,3.0,97.52,0,0,0.0,0.0,0.0,0.0
177,53.76171875,path_1,2.5,path_1,6.5,path_1,8.88,path_1,3.5,path_1,1.5,path_1,6.25,path_1,5.5,path_1,8.0,path_1,9.64,path_1,1.5,107.52,0,0,7.52,0.0,0.0,7.52
178,48.125,path_1,3.5,path_1,7.5,path_1,9.88,path_1,4.5,path_1,2.5,path_1,7.25,path_1,6.5,path_2,2.0,path_3,2.0,path_1,2.5,53.76,0,0,0.0,0.0,0.0,0.0
179,49.875,path_1,4.5,path_1,8.5,path_1,10.88,path_1,5.5,path_1,3.5,path_3,2.0,path_1,7.5,path_1,2.0,path_1,2.0,path_1,3.5,44.12,2.0,2.0,0.0,0.0,0.0,0.0
180,54.375,path_1,5.5,path_1,9.5,path_1,11.88,path_3,2.0,path_1,4.5,path_1,2.0,path_1,8.5,path_1,3.0,path_1,3.0,path_1,4.5,47.88,0,2.0,0.0,0.0,0.0,0.0
181,63.375,path_1,6.5,path_1,10.5,path_1,12.88,path_1,2.0,path_1,5.5,path_1,3.0,path_1,9.5,path_1,4.0,path_1,4.0,path_1,5.5,52.38,0,2.0,0.0,0.0,0.0,0.0
182,73.375,path_1,7.5,path_1,11.5,path_1,13.88,path_1,3.0,path_1,6.5,path_1,4.0,path_1,10.5,path_1,5.0,path_1,5.0,path_1,6.5,63.38,0,0,0.0,0.0,0.0,0.0
183,74.875,path_1,8.5,path_1,12.5,path_1,14.88,path_1,4.0,path_1,7.5,path_3,2.0,path_1,11.5,path_1,6.0,path_1,6.0,path_3,2.0,73.38,0,0,0.0,0.0,0.0,0.0
184,74.875,path_1,9.5,path_1,13.5,path_1,15.88,path_3,2.0,path_1,8.5,path_1,2.0,path_1,12.5,path_2,2.0,path_1,7.0,path_2,2.0,70.88,0,4.0,0.0,0.0,0.0,0.0
185,67.0,path_1,10.5,path_1,14.5,path_3,2.0,path_1,2.0,path_1,9.5,path_1,3.0,path_1,13.5,path_1,2.0,path_1,8.0,path_1,2.0,68.88,4.0,2.0,0.0,0.0,0.0,0.0
186,76.0,path_1,11.5,path_1,15.5,path_1,2.0,path_1,3.0,path_1,10.5,path_1,4.0,path_1,14.5,path_1,3.0,path_1,9.0,path_1,3.0,65.0,0,2.0,0.0,0.0,0.0,0.0
187,72.5,path_1,12.5,path_1,16.5,path_1,3.0,path_1,4.0,path_1,11.5,path_1,5.0,path_3,2.0,path_1,4.0,path_1,10.0,path_1,4.0,76.0,0,0,0.0,0.0,0.0,0.0
188,81.5,path_1,13.5,path_1,17.5,path_1,4.0,path_1,5.0,path_1,12.5,path_1,6.0,path_1,2.0,path_1,5.0,path_1,11.0,path_1,5.0,70.5,0,2.0,0.0,0.0,0.0,0.0
189,91.5,path_1,14.5,path_1,18.5,path_1,5.0,path_1,6.0,path_1,13.5,path_1,7.0,path_1,3.0,path_1,6.0,path_1,12.0,path_1,6.0,81.5,0,0,0.0,0.0,0.0,0.0
190,101.5,path_1,15.5,path_1,19.5,path_1,6.0,path_1,7.0,path_1,14.5,path_1,8.0,path_1,4.0,path_1,7.0,path_1,13.0,path_1,7.0,91.5,0,0,0.0,0.0,0.0,0.0
191,50.75,path_1,7.75,path_1,9.75,path_1,3.0,path_1,3.5,path_1,7.25,path_1,4.0,path_1,2.0,path_1,3.5,path_1,6.5,path_1,3.5,101.5,0,0,1.5,0.0,0.0,1.5
