timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
26,50.00227336228508,path_1,4.94,path_1,4.94,path_1,4.94,path_1,4.94,path_1,5.01,path_1,5.07,path_1,4.94,path_1,5.15,path_1,5.15,path_1,4.94,100.0,0,0,0.0,0.0,0.0,0.0
27,60.00227336228508,path_1,5.94,path_1,5.94,path_1,5.94,path_1,5.94,path_1,6.01,path_1,6.07,path_1,5.94,path_1,6.15,path_1,6.15,path_1,5.94,50.0,0,0,0.0,0.0,0.0,0.0
28,70.00227336228508,path_1,6.94,path_1,6.94,path_1,6.94,path_1,6.94,path_1,7.01,path_1,7.07,path_1,6.94,path_1,7.15,path_1,7.15,path_1,6.94,60.0,0,0,0.0,0.0,0.0,0.0
29,80.00227336228508,path_1,7.94,path_1,7.94,path_1,7.94,path_1,7.94,path_1,8.01,path_1,8.07,path_1,7.94,path_1,8.15,path_1,8.15,path_1,7.94,70.0,0,0,0.0,0.0,0.0,0.0
30,90.00227336228508,path_1,8.94,path_1,8.94,path_1,8.94,path_1,8.94,path_1,9.01,path_1,9.07,path_1,8.94,path_1,9.15,path_1,9.15,path_1,8.94,80.0,0,0,0.0,0.0,0.0,0.0
31,100.00227336228508,path_1,9.94,path_1,9.94,path_1,9.94,path_1,9.94,path_1,10.01,path_1,10.07,path_1,9.94,path_1,10.15,path_1,10.15,path_1,9.94,90.0,0,0,0.0,0.0,0.0,0.0
32,50.00113668114254,path_1,4.97,path_1,4.97,path_1,4.97,path_1,4.97,path_1,5.01,path_1,5.03,path_1,4.97,path_1,5.07,path_1,5.07,path_1,4.97,100.0,0,0,0.0,0.0,0.0,0.0
33,60.00113668114254,path_1,5.97,path_1,5.97,path_1,5.97,path_1,5.97,path_1,6.01,path_1,6.03,path_1,5.97,path_1,6.07,path_1,6.07,path_1,5.97,50.0,0,0,0.0,0.0,0.0,0.0
34,70.00113668114254,path_1,6.97,path_1,6.97,path_1,6.97,path_1,6.97,path_1,7.01,path_1,7.03,path_1,6.97,path_1,7.07,path_1,7.07,path_1,6.97,60.0,0,0,0.0,0.0,0.0,0.0
35,80.00113668114254,path_1,7.97,path_1,7.97,path_1,7.97,path_1,7.97,path_1,8.01,path_1,8.03,path_1,7.97,path_1,8.07,path_1,8.07,path_1,7.97,70.0,0,0,0.0,0.0,0.0,0.0
36,90.00113668114254,path_1,8.97,path_1,8.97,path_1,8.97,path_1,8.97,path_1,9.01,path_1,9.03,path_1,8.97,path_1,9.07,path_1,9.07,path_1,8.97,80.0,0,0,0.0,0.0,0.0,0.0
37,100.00113668114254,path_1,9.97,path_1,9.97,path_1,9.97,path_1,9.97,path_1,10.01,path_1,10.03,path_1,9.97,path_1,10.07,path_1,10.07,path_1,9.97,90.0,0,0,0.0,0.0,0.0,0.0
38,50.00056834057127,path_1,4.98,path_1,4.98,path_1,4.98,path_1,4.98,path_1,5.0,path_1,5.02,path_1,4.98,path_1,5.04,path_1,5.04,path_1,4.98,100.0,0,0,0.0,0.0,0.0,0.0
39,60.00056834057127,path_1,5.98,path_1,5.98,path_1,5.98,path_1,5.98,path_1,6.0,path_1,6.02,path_1,5.98,path_1,6.04,path_1,6.04,path_1,5.98,50.0,0,0,0.0,0.0,0.0,0.0
40,70.00056834057126,path_1,6.98,path_1,6.98,path_1,6.98,path_1,6.98,path_1,7.0,path_1,7.02,path_1,6.98,path_1,7.04,path_1,7.04,path_1,6.98,60.0,0,0,0.0,0.0,0.0,0.0
41,80.00056834057128,path_1,7.98,path_1,7.98,path_1,7.98,path_1,7.98,path_1,8.0,path_1,8.02,path_1,7.98,path_1,8.04,path_1,8.04,path_1,7.98,70.0,0,0,0.0,0.0,0.0,0.0
42,90.00056834057128,path_1,8.98,path_1,8.98,path_1,8.98,path_1,8.98,path_1,9.0,path_1,9.02,path_1,8.98,path_1,9.04,path_1,9.04,path_1,8.98,80.0,0,0,0.0,0.0,0.0,0.0
43,100.00056834057128,path_1,9.98,path_1,9.98,path_1,9.98,path_1,9.98,path_1,10.0,path_1,10.02,path_1,9.98,path_1,10.04,path_1,10.04,path_1,9.98,90.0,0,0,0.0,0.0,0.0,0.0
44,50.00028417028564,path_1,4.99,path_1,4.99,path_1,4.99,path_1,4.99,path_1,5.0,path_1,5.01,path_1,4.99,path_1,5.02,path_1,5.02,path_1,4.99,100.0,0,0,0.0,0.0,0.0,0.0
45,60.00028417028564,path_1,5.99,path_1,5.99,path_1,5.99,path_1,5.99,path_1,6.0,path_1,6.01,path_1,5.99,path_1,6.02,path_1,6.02,path_1,5.99,50.0,0,0,0.0,0.0,0.0,0.0
46,70.00028417028564,path_1,6.99,path_1,6.99,path_1,6.99,path_1,6.99,path_1,7.0,path_1,7.01,path_1,6.99,path_1,7.02,path_1,7.02,path_1,6.99,60.0,0,0,0.0,0.0,0.0,0.0
47,80.00028417028564,path_1,7.99,path_1,7.99,path_1,7.99,path_1,7.99,path_1,8.0,path_1,8.01,path_1,7.99,path_1,8.02,path_1,8.02,path_1,7.99,70.0,0,0,0.0,0.0,0.0,0.0
48,90.00028417028564,path_1,8.99,path_1,8.99,path_1,8.99,path_1,8.99,path_1,9.0,path_1,9.01,path_1,8.99,path_1,9.02,path_1,9.02,path_1,8.99,80.0,0,0,0.0,0.0,0.0,0.0
49,100.00028417028564,path_1,9.99,path_1,9.99,path_1,9.99,path_1,9.99,path_1,10.0,path_1,10.01,path_1,9.99,path_1,10.02,path_1,10.02,path_1,9.99,90.0,0,0,0.0,0.0,0.0,0.0
50,50.00014208514282,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.01,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
51,60.00014208514282,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.01,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
52,70.00014208514281,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.01,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
53,80.00014208514281,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.01,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
54,90.00014208514281,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.01,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
