timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
11,119.7591905039509,path_1,5.0,path_1,5.75,path_1,2.0,path_1,6.25,path_1,6.25,path_1,5.0,path_1,5.5,path_1,6.0,path_3,2.0,path_3,2.0,path_1,3.0,path_1,6.25,path_1,5.0,path_1,6.25,path_1,6.0,path_1,6.0,path_1,6.25,path_1,6.0,path_1,4.0,path_1,2.0,path_3,2.0,path_1,2.0,path_1,6.25,path_1,6.25,path_1,6.76,99.95,8.0,0,0.0,0.0,0.0,0.0
12,63.37959525197545,path_1,2.5,path_1,2.88,path_1,1.0,path_1,3.12,path_1,3.12,path_1,2.5,path_1,2.75,path_1,3.0,path_1,2.0,path_1,2.0,path_2,2.0,path_1,3.12,path_1,2.5,path_1,3.12,path_1,3.0,path_1,3.0,path_1,3.12,path_1,3.0,path_1,2.0,path_1,1.0,path_1,2.0,path_1,1.0,path_1,3.12,path_1,3.12,path_1,3.38,113.76,0,6.0,13.76,0.0,0.0,13.76
13,85.25459525197545,path_1,3.5,path_1,3.88,path_1,2.0,path_1,4.12,path_1,4.12,path_1,3.5,path_1,3.75,path_1,4.0,path_1,3.0,path_1,3.0,path_1,2.0,path_1,4.12,path_1,3.5,path_1,4.12,path_1,4.0,path_1,4.0,path_3,2.0,path_1,4.0,path_1,3.0,path_1,2.0,path_1,3.0,path_1,2.0,path_1,4.12,path_1,4.12,path_1,4.38,61.38,2.0,0,0.0,0.0,0.0,0.0
14,106.12959525197545,path_1,4.5,path_1,4.88,path_1,3.0,path_2,2.0,path_1,5.12,path_1,4.5,path_1,4.75,path_1,5.0,path_1,4.0,path_1,4.0,path_1,3.0,path_1,5.12,path_1,4.5,path_1,5.12,path_1,5.0,path_1,5.0,path_1,2.0,path_1,5.0,path_1,4.0,path_1,3.0,path_1,4.0,path_1,3.0,path_1,5.12,path_1,5.12,path_1,5.38,83.25,0,2.0,0.0,0.0,0.0,0.0
15,53.50229762598772,path_1,2.25,path_1,2.44,path_1,1.5,path_1,2.0,path_1,2.56,path_1,2.25,path_1,2.38,path_1,2.5,path_1,2.0,path_1,2.0,path_1,1.5,path_3,2.0,path_1,2.25,path_1,2.56,path_3,2.0,path_1,2.5,path_1,1.0,path_1,2.5,path_1,2.0,path_1,1.5,path_1,2.0,path_2,2.0,path_1,2.56,path_1,2.56,path_1,2.69,104.13,2.0,0,4.13,0.0,0.0,4.13
16,75.50229762598772,path_1,3.25,path_1,3.44,path_1,2.5,path_1,3.0,path_1,3.56,path_1,3.25,path_1,3.38,path_1,3.5,path_1,3.0,path_1,3.0,path_1,2.5,path_2,2.0,path_1,3.25,path_1,3.56,path_1,2.0,path_1,3.5,path_2,2.0,path_1,3.5,path_1,3.0,path_1,2.5,path_1,3.0,path_1,2.0,path_1,3.56,path_1,3.56,path_1,3.69,47.5,2.0,4.0,0.0,0.0,0.0,0.0
17,95.50229762598772,path_1,4.25,path_1,4.44,path_1,3.5,path_1,4.0,path_1,4.56,path_1,4.25,path_1,4.38,path_1,4.5,path_1,4.0,path_1,4.0,path_1,3.5,path_1,2.0,path_1,4.25,path_1,4.56,path_1,3.0,path_1,4.5,path_3,2.0,path_1,4.5,path_3,2.0,path_1,3.5,path_1,4.0,path_3,2.0,path_1,4.56,path_1,4.56,path_1,4.69,71.5,4.0,0,0.0,0.0,0.0,0.0
18,112.12729762598772,path_1,5.25,path_1,5.44,path_1,4.5,path_1,5.0,path_1,5.56,path_1,5.25,path_2,2.0,path_1,5.5,path_1,5.0,path_1,5.0,path_1,4.5,path_1,3.0,path_1,5.25,path_1,5.56,path_3,2.0,path_1,5.5,path_1,2.0,path_1,5.5,path_1,2.0,path_1,4.5,path_1,5.0,path_1,2.0,path_1,5.56,path_1,5.56,path_1,5.69,89.5,0,6.0,0.0,0.0,0.0,0.0
19,59.31364881299386,path_1,2.62,path_1,2.72,path_1,2.25,path_1,2.5,path_1,2.78,path_1,2.62,path_1,2.0,path_1,2.75,path_1,2.5,path_1,2.5,path_1,2.25,path_3,2.0,path_1,2.62,path_1,2.78,path_1,2.0,path_1,2.75,path_1,1.0,path_1,2.75,path_1,1.0,path_3,2.0,path_1,2.5,path_3,2.0,path_1,2.78,path_1,2.78,path_1,2.84,108.13,2.0,2.0,8.13,0.0,0.0,8.13
20,81.31364881299386,path_1,3.62,path_1,3.72,path_1,3.25,path_1,3.5,path_1,3.78,path_1,3.62,path_1,3.0,path_1,3.75,path_1,3.5,path_1,3.5,path_1,3.25,path_1,2.0,path_1,3.62,path_1,3.78,path_1,3.0,path_1,3.75,path_1,2.0,path_1,3.75,path_1,2.0,path_1,2.0,path_1,3.5,path_1,2.0,path_1,3.78,path_1,3.78,path_1,3.84,53.31,0,6.0,0.0,0.0,0.0,0.0
