timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,agent_25_path,agent_25_cwnd,agent_26_path,agent_26_cwnd,agent_27_path,agent_27_cwnd,agent_28_path,agent_28_cwnd,agent_29_path,agent_29_cwnd,agent_30_path,agent_30_cwnd,agent_31_path,agent_31_cwnd,agent_32_path,agent_32_cwnd,agent_33_path,agent_33_cwnd,agent_34_path,agent_34_cwnd,agent_35_path,agent_35_cwnd,agent_36_path,agent_36_cwnd,agent_37_path,agent_37_cwnd,agent_38_path,agent_38_cwnd,agent_39_path,agent_39_cwnd,agent_40_path,agent_40_cwnd,agent_41_path,agent_41_cwnd,agent_42_path,agent_42_cwnd,agent_43_path,agent_43_cwnd,agent_44_path,agent_44_cwnd,agent_45_path,agent_45_cwnd,agent_46_path,agent_46_cwnd,agent_47_path,agent_47_cwnd,agent_48_path,agent_48_cwnd,agent_49_path,agent_49_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
94,145.78125000422668,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_3,5.25,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.31,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,53.28,0,42.5,0.0,0.0,0.0,0.0
95,195.78125000422668,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_3,6.25,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.31,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,path_1,3.34,93.28,0,52.5,0.0,0.0,0.0,0.0
96,139.14062500211335,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_3,7.25,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.66,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,path_1,1.67,133.28,0,62.5,33.28,0.0,0.0,33.28
97,189.14062500211335,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_3,8.25,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.66,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,path_1,2.67,66.64,0,72.5,0.0,0.0,0.0,0.0
98,94.57031250105668,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_3,4.12,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.33,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,path_1,1.34,106.64,0,82.5,6.64,0.0,2.5,9.14
99,144.57031250105666,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_3,5.12,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.33,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,path_1,2.34,53.32,0,41.25,0.0,0.0,0.0,0.0
100,161.171875,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_3,6.12,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_1,3.33,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,path_2,2.0,93.32,0,51.25,0.0,0.0,0.0,0.0
101,211.171875,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_3,7.12,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_1,4.33,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,path_2,3.0,49.92,50.0,61.25,0.0,0.0,0.0,0.0
102,261.171875,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_3,8.12,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_1,5.33,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,path_2,4.0,64.92,75.0,71.25,0.0,0.0,0.0,0.0
103,260.546875,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_3,4.06,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_1,6.33,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,path_2,5.0,79.92,100.0,81.25,0.0,0.0,1.25,1.25
104,310.546875,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_3,5.06,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_1,7.33,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,path_2,6.0,94.92,125.0,40.62,0.0,0.0,0.0,0.0
105,290.5859375,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_3,6.06,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_1,3.66,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,path_2,7.0,109.92,150.0,50.62,9.92,0.0,0.0,9.92
106,340.5859375,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_3,7.06,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_1,4.66,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,path_2,8.0,54.96,175.0,60.62,0.0,0.0,0.0,0.0
107,390.5859375,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_3,8.06,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_1,5.66,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,path_2,9.0,69.96,200.0,70.62,0.0,0.0,0.0,0.0
