2025-08-01 10:28:50 - === Starting all simulations ===
2025-08-01 10:28:59 - 
=== Oscillation and Loss Comparison Summary ===
2025-08-01 10:29:00 - WEIGHTED_ROUND_ROBIN with 150 agents Osc: 36.96, Loss: 23.97 Mbps, Fairness: 0.96, Efficiency: 327.04, Stability: 0.03, LossAvoid: 0.04
2025-08-01 10:29:00 - WEIGHTED_ROUND_ROBIN with 250 agents Osc: 46.50, Loss: 60.82 Mbps, Fairness: 0.95, Efficiency: 388.16, Stability: 0.02, LossAvoid: 0.02
2025-08-01 10:29:00 - WEIGHTED_ROUND_ROBIN with 500 agents Osc: 81.50, Loss: 216.22 Mbps, Fairness: 0.98, Efficiency: 561.94, Stability: 0.01, LossAvoid: 0.00
2025-08-01 10:29:00 - EPSILON_GREEDY with 10 agents Osc: 6.73, Loss: 0.32 Mbps, Fairness: 0.95, Efficiency: 77.02, Stability: 0.13, LossAvoid: 0.76
2025-08-01 10:29:00 - EPSILON_GREEDY with 25 agents Osc: 9.07, Loss: 2.45 Mbps, Fairness: 0.94, Efficiency: 85.59, Stability: 0.10, LossAvoid: 0.29
2025-08-01 10:29:00 - EPSILON_GREEDY with 50 agents Osc: 12.26, Loss: 7.36 Mbps, Fairness: 0.92, Efficiency: 95.87, Stability: 0.08, LossAvoid: 0.12
2025-08-01 10:29:00 - EPSILON_GREEDY with 100 agents Osc: 18.39, Loss: 32.28 Mbps, Fairness: 0.92, Efficiency: 144.92, Stability: 0.05, LossAvoid: 0.03
2025-08-01 10:29:00 - EPSILON_GREEDY with 150 agents Osc: 8.57, Loss: 49.95 Mbps, Fairness: 0.99, Efficiency: 169.64, Stability: 0.10, LossAvoid: 0.02
2025-08-01 10:29:00 - EPSILON_GREEDY with 250 agents Osc: 14.23, Loss: 150.29 Mbps, Fairness: 0.99, Efficiency: 283.39, Stability: 0.07, LossAvoid: 0.01
2025-08-01 10:29:01 - EPSILON_GREEDY with 500 agents Osc: 25.02, Loss: 401.31 Mbps, Fairness: 0.99, Efficiency: 566.69, Stability: 0.04, LossAvoid: 0.00
2025-08-01 10:29:01 - BLEST with 10 agents Osc: 6.82, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 20.01, Stability: 0.13, LossAvoid: 1.00
2025-08-01 10:29:01 - BLEST with 25 agents Osc: 17.31, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 50.05, Stability: 0.05, LossAvoid: 1.00
2025-08-01 10:29:01 - BLEST with 50 agents Osc: 34.42, Loss: 10.03 Mbps, Fairness: 1.00, Efficiency: 100.10, Stability: 0.03, LossAvoid: 0.09
2025-08-01 10:29:01 - BLEST with 100 agents Osc: 68.16, Loss: 109.68 Mbps, Fairness: 1.00, Efficiency: 199.93, Stability: 0.01, LossAvoid: 0.01
2025-08-01 10:29:01 - BLEST with 150 agents Osc: 102.65, Loss: 209.63 Mbps, Fairness: 1.00, Efficiency: 299.93, Stability: 0.01, LossAvoid: 0.00
2025-08-01 10:29:01 - BLEST with 250 agents Osc: 171.55, Loss: 409.62 Mbps, Fairness: 1.00, Efficiency: 499.86, Stability: 0.01, LossAvoid: 0.00
2025-08-01 10:29:01 - BLEST with 500 agents Osc: 343.52, Loss: 910.43 Mbps, Fairness: 1.00, Efficiency: 999.77, Stability: 0.00, LossAvoid: 0.00
2025-08-01 10:29:01 - All simulations completed. Topology file removed.

2025-08-01 10:29:02 - Saved experiment summary to summary CSV.
