timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,agent_25_path,agent_25_cwnd,agent_26_path,agent_26_cwnd,agent_27_path,agent_27_cwnd,agent_28_path,agent_28_cwnd,agent_29_path,agent_29_cwnd,agent_30_path,agent_30_cwnd,agent_31_path,agent_31_cwnd,agent_32_path,agent_32_cwnd,agent_33_path,agent_33_cwnd,agent_34_path,agent_34_cwnd,agent_35_path,agent_35_cwnd,agent_36_path,agent_36_cwnd,agent_37_path,agent_37_cwnd,agent_38_path,agent_38_cwnd,agent_39_path,agent_39_cwnd,agent_40_path,agent_40_cwnd,agent_41_path,agent_41_cwnd,agent_42_path,agent_42_cwnd,agent_43_path,agent_43_cwnd,agent_44_path,agent_44_cwnd,agent_45_path,agent_45_cwnd,agent_46_path,agent_46_cwnd,agent_47_path,agent_47_cwnd,agent_48_path,agent_48_cwnd,agent_49_path,agent_49_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
10,200.37776367365043,path_1,3.88,path_1,3.88,path_1,3.88,path_1,3.88,path_1,3.94,path_1,4.24,path_1,4.08,path_1,4.16,path_1,4.03,path_1,4.17,path_1,4.27,path_1,3.88,path_1,4.15,path_1,3.88,path_1,4.13,path_1,3.88,path_1,4.32,path_1,3.88,path_1,3.98,path_1,3.88,path_1,4.3,path_1,3.88,path_1,3.96,path_1,4.19,path_1,4.29,path_1,3.89,path_1,3.88,path_1,3.88,path_1,4.14,path_1,3.88,path_1,3.88,path_1,3.88,path_1,4.12,path_1,3.91,path_1,3.88,path_1,3.88,path_1,4.05,path_1,4.35,path_1,3.88,path_1,3.88,path_1,3.88,path_1,4.12,path_1,3.88,path_1,4.17,path_1,3.88,path_1,3.88,path_1,4.18,path_1,3.88,path_1,4.14,path_1,4.11,150.38,0,0.0,0.0,0.0
11,100.18888183682522,path_1,1.94,path_1,1.94,path_1,1.94,path_1,1.94,path_1,1.97,path_1,2.12,path_1,2.04,path_1,2.08,path_1,2.01,path_1,2.08,path_1,2.13,path_1,1.94,path_1,2.07,path_1,1.94,path_1,2.07,path_1,1.94,path_1,2.16,path_1,1.94,path_1,1.99,path_1,1.94,path_1,2.15,path_1,1.94,path_1,1.98,path_1,2.1,path_1,2.15,path_1,1.94,path_1,1.94,path_1,1.94,path_1,2.07,path_1,1.94,path_1,1.94,path_1,1.94,path_1,2.06,path_1,1.96,path_1,1.94,path_1,1.94,path_1,2.02,path_1,2.18,path_1,1.94,path_1,1.94,path_1,1.94,path_1,2.06,path_1,1.94,path_1,2.08,path_1,1.94,path_1,1.94,path_1,2.09,path_1,1.94,path_1,2.07,path_1,2.06,200.38,0,0.38,0.0,0.38
12,150.18888183682523,path_1,2.94,path_1,2.94,path_1,2.94,path_1,2.94,path_1,2.97,path_1,3.12,path_1,3.04,path_1,3.08,path_1,3.01,path_1,3.08,path_1,3.13,path_1,2.94,path_1,3.07,path_1,2.94,path_1,3.07,path_1,2.94,path_1,3.16,path_1,2.94,path_1,2.99,path_1,2.94,path_1,3.15,path_1,2.94,path_1,2.98,path_1,3.1,path_1,3.15,path_1,2.94,path_1,2.94,path_1,2.94,path_1,3.07,path_1,2.94,path_1,2.94,path_1,2.94,path_1,3.06,path_1,2.96,path_1,2.94,path_1,2.94,path_1,3.02,path_1,3.18,path_1,2.94,path_1,2.94,path_1,2.94,path_1,3.06,path_1,2.94,path_1,3.08,path_1,2.94,path_1,2.94,path_1,3.09,path_1,2.94,path_1,3.07,path_1,3.06,100.19,0,0.0,0.0,0.0
13,200.18888183682523,path_1,3.94,path_1,3.94,path_1,3.94,path_1,3.94,path_1,3.97,path_1,4.12,path_1,4.04,path_1,4.08,path_1,4.01,path_1,4.08,path_1,4.13,path_1,3.94,path_1,4.07,path_1,3.94,path_1,4.07,path_1,3.94,path_1,4.16,path_1,3.94,path_1,3.99,path_1,3.94,path_1,4.15,path_1,3.94,path_1,3.98,path_1,4.1,path_1,4.15,path_1,3.94,path_1,3.94,path_1,3.94,path_1,4.07,path_1,3.94,path_1,3.94,path_1,3.94,path_1,4.06,path_1,3.96,path_1,3.94,path_1,3.94,path_1,4.02,path_1,4.18,path_1,3.94,path_1,3.94,path_1,3.94,path_1,4.06,path_1,3.94,path_1,4.08,path_1,3.94,path_1,3.94,path_1,4.09,path_1,3.94,path_1,4.07,path_1,4.06,150.19,0,0.0,0.0,0.0
14,100.09444091841262,path_1,1.97,path_1,1.97,path_1,1.97,path_1,1.97,path_1,1.98,path_1,2.06,path_1,2.02,path_1,2.04,path_1,2.01,path_1,2.04,path_1,2.07,path_1,1.97,path_1,2.04,path_1,1.97,path_1,2.03,path_1,1.97,path_1,2.08,path_1,1.97,path_1,1.99,path_1,1.97,path_1,2.08,path_1,1.97,path_1,1.99,path_1,2.05,path_1,2.07,path_1,1.97,path_1,1.97,path_1,1.97,path_1,2.04,path_1,1.97,path_1,1.97,path_1,1.97,path_1,2.03,path_1,1.98,path_1,1.97,path_1,1.97,path_1,2.01,path_1,2.09,path_1,1.97,path_1,1.97,path_1,1.97,path_1,2.03,path_1,1.97,path_1,2.04,path_1,1.97,path_1,1.97,path_1,2.04,path_1,1.97,path_1,2.03,path_1,2.03,200.19,0,0.19,0.0,0.19
15,150.0944409184126,path_1,2.97,path_1,2.97,path_1,2.97,path_1,2.97,path_1,2.98,path_1,3.06,path_1,3.02,path_1,3.04,path_1,3.01,path_1,3.04,path_1,3.07,path_1,2.97,path_1,3.04,path_1,2.97,path_1,3.03,path_1,2.97,path_1,3.08,path_1,2.97,path_1,2.99,path_1,2.97,path_1,3.08,path_1,2.97,path_1,2.99,path_1,3.05,path_1,3.07,path_1,2.97,path_1,2.97,path_1,2.97,path_1,3.04,path_1,2.97,path_1,2.97,path_1,2.97,path_1,3.03,path_1,2.98,path_1,2.97,path_1,2.97,path_1,3.01,path_1,3.09,path_1,2.97,path_1,2.97,path_1,2.97,path_1,3.03,path_1,2.97,path_1,3.04,path_1,2.97,path_1,2.97,path_1,3.04,path_1,2.97,path_1,3.03,path_1,3.03,100.09,0,0.0,0.0,0.0
16,200.0944409184126,path_1,3.97,path_1,3.97,path_1,3.97,path_1,3.97,path_1,3.98,path_1,4.06,path_1,4.02,path_1,4.04,path_1,4.01,path_1,4.04,path_1,4.07,path_1,3.97,path_1,4.04,path_1,3.97,path_1,4.03,path_1,3.97,path_1,4.08,path_1,3.97,path_1,3.99,path_1,3.97,path_1,4.08,path_1,3.97,path_1,3.99,path_1,4.05,path_1,4.07,path_1,3.97,path_1,3.97,path_1,3.97,path_1,4.04,path_1,3.97,path_1,3.97,path_1,3.97,path_1,4.03,path_1,3.98,path_1,3.97,path_1,3.97,path_1,4.01,path_1,4.09,path_1,3.97,path_1,3.97,path_1,3.97,path_1,4.03,path_1,3.97,path_1,4.04,path_1,3.97,path_1,3.97,path_1,4.04,path_1,3.97,path_1,4.03,path_1,4.03,150.09,0,0.0,0.0,0.0
17,100.0472204592063,path_1,1.98,path_1,1.98,path_1,1.98,path_1,1.98,path_1,1.99,path_1,2.03,path_1,2.01,path_1,2.02,path_1,2.0,path_1,2.02,path_1,2.03,path_1,1.98,path_1,2.02,path_1,1.98,path_1,2.02,path_1,1.98,path_1,2.04,path_1,1.98,path_1,2.0,path_1,1.98,path_1,2.04,path_1,1.98,path_1,1.99,path_1,2.02,path_1,2.04,path_1,1.99,path_1,1.98,path_1,1.98,path_1,2.02,path_1,1.98,path_1,1.98,path_1,1.98,path_1,2.01,path_1,1.99,path_1,1.98,path_1,1.98,path_1,2.01,path_1,2.04,path_1,1.98,path_1,1.98,path_1,1.98,path_1,2.01,path_1,1.98,path_1,2.02,path_1,1.98,path_1,1.98,path_1,2.02,path_1,1.98,path_1,2.02,path_1,2.01,200.09,0,0.09,0.0,0.09
18,150.0472204592063,path_1,2.98,path_1,2.98,path_1,2.98,path_1,2.98,path_1,2.99,path_1,3.03,path_1,3.01,path_1,3.02,path_1,3.0,path_1,3.02,path_1,3.03,path_1,2.98,path_1,3.02,path_1,2.98,path_1,3.02,path_1,2.98,path_1,3.04,path_1,2.98,path_1,3.0,path_1,2.98,path_1,3.04,path_1,2.98,path_1,2.99,path_1,3.02,path_1,3.04,path_1,2.99,path_1,2.98,path_1,2.98,path_1,3.02,path_1,2.98,path_1,2.98,path_1,2.98,path_1,3.01,path_1,2.99,path_1,2.98,path_1,2.98,path_1,3.01,path_1,3.04,path_1,2.98,path_1,2.98,path_1,2.98,path_1,3.01,path_1,2.98,path_1,3.02,path_1,2.98,path_1,2.98,path_1,3.02,path_1,2.98,path_1,3.02,path_1,3.01,100.05,0,0.0,0.0,0.0
19,200.0472204592063,path_1,3.98,path_1,3.98,path_1,3.98,path_1,3.98,path_1,3.99,path_1,4.03,path_1,4.01,path_1,4.02,path_1,4.0,path_1,4.02,path_1,4.03,path_1,3.98,path_1,4.02,path_1,3.98,path_1,4.02,path_1,3.98,path_1,4.04,path_1,3.98,path_1,4.0,path_1,3.98,path_1,4.04,path_1,3.98,path_1,3.99,path_1,4.02,path_1,4.04,path_1,3.99,path_1,3.98,path_1,3.98,path_1,4.02,path_1,3.98,path_1,3.98,path_1,3.98,path_1,4.01,path_1,3.99,path_1,3.98,path_1,3.98,path_1,4.01,path_1,4.04,path_1,3.98,path_1,3.98,path_1,3.98,path_1,4.01,path_1,3.98,path_1,4.02,path_1,3.98,path_1,3.98,path_1,4.02,path_1,3.98,path_1,4.02,path_1,4.01,150.05,0,0.0,0.0,0.0
