timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
10,76.13707437383084,path_1,3.43,path_1,3.0,path_1,3.0,path_1,3.17,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.48,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.06,51.14,0,0,0.0,0.0,0.0,0.0
11,101.13707437383084,path_1,4.43,path_1,4.0,path_1,4.0,path_1,4.17,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.48,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.06,76.14,0,0,0.0,0.0,0.0,0.0
12,50.56853718691542,path_1,2.22,path_1,2.0,path_1,2.0,path_1,2.08,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.24,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.03,101.14,0,0,1.14,0.0,0.0,1.14
13,75.56853718691542,path_1,3.22,path_1,3.0,path_1,3.0,path_1,3.08,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.24,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.03,50.57,0,0,0.0,0.0,0.0,0.0
14,100.56853718691542,path_1,4.22,path_1,4.0,path_1,4.0,path_1,4.08,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.24,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.03,75.57,0,0,0.0,0.0,0.0,0.0
15,50.28426859345771,path_1,2.11,path_1,2.0,path_1,2.0,path_1,2.04,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.12,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.01,100.57,0,0,0.57,0.0,0.0,0.57
16,75.28426859345771,path_1,3.11,path_1,3.0,path_1,3.0,path_1,3.04,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.12,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.01,50.28,0,0,0.0,0.0,0.0,0.0
17,100.28426859345771,path_1,4.11,path_1,4.0,path_1,4.0,path_1,4.04,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.12,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.01,75.28,0,0,0.0,0.0,0.0,0.0
18,50.142134296728855,path_1,2.05,path_1,2.0,path_1,2.0,path_1,2.02,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.06,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.01,100.28,0,0,0.28,0.0,0.0,0.28
19,75.14213429672886,path_1,3.05,path_1,3.0,path_1,3.0,path_1,3.02,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.06,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.01,50.14,0,0,0.0,0.0,0.0,0.0
20,100.14213429672886,path_1,4.05,path_1,4.0,path_1,4.0,path_1,4.02,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.06,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.01,75.14,0,0,0.0,0.0,0.0,0.0
21,50.07106714836443,path_1,2.03,path_1,2.0,path_1,2.0,path_1,2.01,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.03,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,100.14,0,0,0.14,0.0,0.0,0.14
22,75.07106714836442,path_1,3.03,path_1,3.0,path_1,3.0,path_1,3.01,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.03,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,50.07,0,0,0.0,0.0,0.0,0.0
23,100.07106714836442,path_1,4.03,path_1,4.0,path_1,4.0,path_1,4.01,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.03,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,75.07,0,0,0.0,0.0,0.0,0.0
24,50.03553357418221,path_1,2.01,path_1,2.0,path_1,2.0,path_1,2.01,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.02,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,100.07,0,0,0.07,0.0,0.0,0.07
25,75.03553357418221,path_1,3.01,path_1,3.0,path_1,3.0,path_1,3.01,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.02,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,50.04,0,0,0.0,0.0,0.0,0.0
26,100.03553357418221,path_1,4.01,path_1,4.0,path_1,4.0,path_1,4.01,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.02,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,75.04,0,0,0.0,0.0,0.0,0.0
27,50.017766787091105,path_1,2.01,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.01,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,100.04,0,0,0.04,0.0,0.0,0.04
28,75.0177667870911,path_1,3.01,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.01,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,50.02,0,0,0.0,0.0,0.0,0.0
